DATE,WILL5000INDFC_NBD20071001_GDP_NBD20071001
1971-01-01,0.25431506627345496970
1971-04-01,0.26277148391267718199
1971-07-01,0.25269892043182726909
1971-10-01,0.25001947095860165138
1972-01-01,0.26934372204923639112
1972-04-01,0.27018082859048517652
1972-07-01,0.26787664844624748301
1972-10-01,0.27288833572696439229
1973-01-01,0.25356021574410672261
1973-04-01,0.22623651706208291877
1973-07-01,0.23178831734746028846
1973-10-01,0.21305236675567729312
1974-01-01,0.20255577813082821026
1974-04-01,0.17819576856458377613
1974-07-01,0.14278841981746082652
1974-10-01,0.13980551980815065362
1975-01-01,0.16153892380225699598
1975-04-01,0.18123841932725199544
1975-07-01,0.16832006113844535881
1975-10-01,0.16941981027279758256
1976-01-01,0.18745367410332867481
1976-04-01,0.18759850651414045122
1976-07-01,0.18939051214451741728
1976-10-01,0.18840382355066813239
1977-01-01,0.18190785068042387473
1977-04-01,0.17682332411931179705
1977-07-01,0.17244243965428020308
1977-10-01,0.16714668211418928383
1978-01-01,0.15937213374189932416
1978-04-01,0.16814155941034583300
1978-07-01,0.17782651970361632322
1978-10-01,0.15935661136772066359
1979-01-01,0.16856734009969581071
1979-04-01,0.17330257718991293899
1979-07-01,0.18304149407578167191
1979-10-01,0.18444587903850984693
1980-01-01,0.18790185188115469616
1980-04-01,0.18448374629736882388
1980-07-01,0.21087195168754124388
1980-10-01,0.22256548210790704185
1981-01-01,0.21139965192981134031
1981-04-01,0.21751681221823569071
1981-07-01,0.20236146061614779460
1981-10-01,0.19709225790681141837
1982-01-01,0.18427539517791488794
1982-04-01,0.18236271423574676460
1982-07-01,0.18141586730964928539
1982-10-01,0.21994214416042215994
1983-01-01,0.23789509449053738951
1983-04-01,0.26053709162332618861
1983-07-01,0.26033265033343610906
1983-10-01,0.25248110451758207625
1984-01-01,0.23663576597811598678
1984-04-01,0.22414544178735619740
1984-07-01,0.22870212043848480197
1984-10-01,0.23374074578541288907
1985-01-01,0.25048656895747448187
1985-04-01,0.26048908041999491555
1985-07-01,0.26397935559009857283
1985-10-01,0.27275255786232243965
1986-01-01,0.30417312995518786625
1986-04-01,0.33351635402071414327
1986-07-01,0.32911341469139749130
1986-10-01,0.32759206258287362201
1987-01-01,0.37204898375351815981
1987-04-01,0.38225544379301508105
1987-07-01,0.40778947926539106460
1987-10-01,0.31888436910868001523
1988-01-01,0.32423742843867087502
1988-04-01,0.32907289544953479194
1988-07-01,0.33130162826092285203
1988-10-01,0.33357815236755449222
1989-01-01,0.34927262459899901610
1989-04-01,0.37337166483792354412
1989-07-01,0.40227230389984789816
1989-10-01,0.40330733361941211834
1990-01-01,0.38415017789010979098
1990-04-01,0.39292327565518732970
1990-07-01,0.37394758163948286187
1990-10-01,0.35098361250303871519
1991-01-01,0.39670845928742695719
1991-04-01,0.42755570328854269841
1991-07-01,0.43380457086654687739
1991-10-01,0.43932711191852168698
1992-01-01,0.46988687647295656942
1992-04-01,0.45615441030160038659
1992-07-01,0.45785016219491535299
1992-10-01,0.46544304073488919769
1993-01-01,0.49081546993896368369
1993-04-01,0.49065318462108004619
1993-07-01,0.50275256585065050443
1993-10-01,0.50919232421835661871
1994-01-01,0.51192337868974978627
1994-04-01,0.48337874936038531201
1994-07-01,0.48971501932347950290
1994-10-01,0.48278542999170027840
1995-01-01,0.50121645933942844310
1995-04-01,0.54269688460271556134
1995-07-01,0.58733809245916747793
1995-10-01,0.61276853380961188839
1996-01-01,0.64499977745453620590
1996-04-01,0.66653031503455350641
1996-07-01,0.65456241596406745676
1996-10-01,0.70488685303168884735
1997-01-01,0.74773128345139475061
1997-04-01,0.76267124807982603435
1997-07-01,0.85831892599446309745
1997-10-01,0.87769451578788336607
1998-01-01,0.92808284596976788610
1998-04-01,0.99182950564932823588
1998-07-01,0.93573825703664673812
1998-10-01,0.93829723464618990613
1999-01-01,1.0467117253675879
1999-04-01,1.0958552216138197
1999-07-01,1.0881571939470116
1999-10-01,1.1062996169542520
2000-01-01,1.1853387278750305
2000-04-01,1.1388359507554741
2000-07-01,1.1670085341124194
2000-10-01,1.0581156113589610
2001-01-01,0.98000468847632670810
2001-04-01,0.94228376473345323072
2001-07-01,0.88648572095038155220
2001-10-01,0.85321514132741149403
2002-01-01,0.86933026464314331689
2002-04-01,0.82695987055296116048
2002-07-01,0.68868683593922692642
2002-10-01,0.67853691670865990057
2003-01-01,0.65690779293806552036
2003-04-01,0.71401896802813361908
2003-07-01,0.75812811767295173419
2003-10-01,0.79639048230109347014
2004-01-01,0.84848599659775625678
2004-04-01,0.83064729508728460084
2004-07-01,0.80478573651961502398
2004-10-01,0.84421769314783617054
2005-01-01,0.85542119656200695662
2005-04-01,0.84374568360679837125
2005-07-01,0.87299494459114246508
2005-10-01,0.87037296976667315677
2006-01-01,0.90044551505502851597
2006-04-01,0.89459666011768901226
2006-07-01,0.88737765423096725419
2006-10-01,0.95198653215592412829
2007-01-01,0.97505831668066681055
2007-04-01,1.0148758969395980
2007-07-01,0.99987037031049695355
2007-10-01,1.00000000000000000000
2008-01-01,0.90645533764049384594
2008-04-01,0.92054599449060136663
2008-07-01,0.84780378314986999509
2008-10-01,0.62286692359228062732
2009-01-01,0.56730163495190220267
2009-04-01,0.64009960766971280375
2009-07-01,0.71824583340674458070
2009-10-01,0.77734055960266097907
2010-01-01,0.80726942022738428343
2010-04-01,0.81340239695195929266
2010-07-01,0.78064671559050643103
2010-10-01,0.86032284471982705798
2011-01-01,0.93410095573695709541
2011-04-01,0.93742593421610557249
2011-07-01,0.86596112316702194928
2011-10-01,0.85499605053824884656
2012-01-01,0.93569241428584118278
2012-04-01,0.92822628267938844247
2012-07-01,0.95848333964060882746
2012-10-01,0.97123542643092061045
2013-01-01,1.0388139569724114
2013-04-01,1.1039696125006983
2013-07-01,1.1481440359139588
2013-10-01,1.2054773695976545
2014-01-01,1.2622114350190312
2014-04-01,1.2783282102636554
2014-07-01,1.3106096424484886
2014-10-01,1.3225032448887696
2015-01-01,1.3595582803500073
2015-04-01,1.3791157979056303
2015-07-01,1.3233018004223143
2015-10-01,1.3285421841202802
2016-01-01,1.2483414188275348
2016-04-01,1.3290205856922292
2016-07-01,1.3864184001208212
2016-10-01,1.4005473915311796
2017-01-01,1.4857400265923223
2017-04-01,1.5215197292107341
2017-07-01,1.5509576787415949
2017-10-01,1.6179348186073327
2018-01-01,1.6829330100416489
2018-04-01,1.6528161117835046
2018-07-01,1.7380473423778601
2018-10-01,1.6239014252873043
2019-01-01,1.6379434616036502
2019-04-01,1.7139466431199208
2019-07-01,1.7391284147228500
2019-10-01,1.7943827433608810
2020-01-01,1.7975727316362727
2020-04-01,1.9061935482018793
2020-07-01,2.0181555274955906
2020-10-01,2.1734297163286701
2021-01-01,2.3570191836638490
2021-04-01,2.4502778854435135
2021-07-01,2.5289742560704263
2021-10-01,2.5326611752016355
2022-01-01,2.3711552517375175
